age,education_level,career_field,main_sector,employer_type,contract_type,weekly_hours,residence,province,monthly_income_rwf
19,Lower secondary education,Sales and services,Services,Private business or VUP,Oral agreement,48.0,Urban,Kigali city,26000.0
19,Lower secondary education,Science and engineering,Industry,Private business or VUP,Oral agreement,54.0,Urban,Kigali city,40000.0
21,Lower secondary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,48.0,Urban,Kigali city,156000.0
24,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,6.0,Urban,Kigali city,39000.0
17,Primary education,Elementary and other work,Services,Household,Oral agreement,70.0,Urban,Kigali city,15000.0
27,Tertiary education,"Education, health and social services",Services,Public institution,Written contract,40.0,Urban,Kigali city,135000.0
27,Upper secondary education,"Education, health and social services",Services,Private business or VUP,Oral agreement,18.0,Urban,Kigali city,80000.0
21,Lower secondary education,"Education, health and social services",Services,Private business or VUP,Oral agreement,48.0,Urban,Kigali city,60000.0
26,Tertiary education,"Business, management and office work",Services,Private business or VUP,Written contract,45.0,Urban,Kigali city,280000.0
20,Lower secondary education,Elementary and other work,Services,Private business or VUP,Oral agreement,70.0,Urban,Kigali city,20000.0
27,Upper secondary education,Sales and services,Services,Private business or VUP,Written contract,30.0,Urban,Kigali city,130000.0
21,Upper secondary education,Sales and services,Services,Private business or VUP,Oral agreement,35.0,Urban,Kigali city,182000.0
16,Primary education,Sales and services,Services,Private business or VUP,Oral agreement,18.0,Urban,Kigali city,25000.0
29,Lower secondary education,Elementary and other work,Services,Private business or VUP,Oral agreement,48.0,Urban,Kigali city,50000.0
28,Primary education,Skilled trades and operators,Industry,Private business or VUP,Oral agreement,56.0,Urban,Kigali city,151666.67
30,Lower secondary education,Skilled trades and operators,Industry,Private business or VUP,Oral agreement,56.0,Urban,Kigali city,151666.67
27,Upper secondary education,Skilled trades and operators,Industry,Private business or VUP,Oral agreement,56.0,Urban,Kigali city,151666.67
18,Primary education,Elementary and other work,Services,Household,Oral agreement,70.0,Urban,Kigali city,10000.0
19,Primary education,"Education, health and social services",Services,Household,Oral agreement,70.0,Urban,Kigali city,15000.0
30,Primary education,Sales and services,Services,Private business or VUP,Oral agreement,60.0,Urban,Kigali city,70000.0
29,Lower secondary education,"Business, management and office work",Services,Private business or VUP,Oral agreement,48.0,Urban,Kigali city,80000.0
19,Primary education,Elementary and other work,Services,Household,Oral agreement,60.0,Urban,Kigali city,15000.0
19,Upper secondary education,Sales and services,Services,Private business or VUP,Oral agreement,42.0,Urban,Kigali city,90000.0
20,Primary education,Elementary and other work,Services,Household,Oral agreement,56.0,Urban,Kigali city,20000.0
23,Lower secondary education,Elementary and other work,Services,Household,Oral agreement,60.0,Urban,Kigali city,20000.0
26,Primary education,Sales and services,Services,Private business or VUP,Oral agreement,48.0,Urban,Kigali city,35000.0
23,Primary education,Sales and services,Services,Private business or VUP,Oral agreement,84.0,Urban,Kigali city,70000.0
19,Lower secondary education,Elementary and other work,Services,Household,Written contract,63.0,Urban,Kigali city,15000.0
30,Lower secondary education,Sales and services,Services,Private business or VUP,Oral agreement,40.0,Urban,Kigali city,78000.0
20,Primary education,Elementary and other work,Services,Household,Oral agreement,60.0,Urban,Kigali city,20000.0
28,Upper secondary education,Elementary and other work,Services,Household,Oral agreement,70.0,Urban,Kigali city,100000.0
27,Tertiary education,"Education, health and social services",Services,Private business or VUP,Written contract,20.0,Urban,Kigali city,90000.0
21,Primary education,Elementary and other work,Services,Household,Oral agreement,49.0,Urban,Kigali city,60000.0
22,Lower secondary education,Elementary and other work,Services,Household,Oral agreement,42.0,Urban,Kigali city,40000.0
23,Lower secondary education,Sales and services,Services,Private business or VUP,Oral agreement,70.0,Urban,Kigali city,40000.0
27,Primary education,Skilled trades and operators,Industry,Private business or VUP,Oral agreement,54.0,Urban,Kigali city,156000.0
24,Lower secondary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,35.0,Urban,Kigali city,31200.0
30,Upper secondary education,Elementary and other work,Industry,Private business or VUP,Written contract,50.0,Urban,Kigali city,65000.0
24,Upper secondary education,Skilled trades and operators,Industry,Private business or VUP,Written contract,63.0,Urban,Kigali city,40150.0
27,Upper secondary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,54.0,Urban,Kigali city,65000.0
18,Primary education,Elementary and other work,Services,Household,Oral agreement,38.0,Urban,Kigali city,15000.0
29,Lower secondary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,32.0,Urban,Kigali city,65000.0
23,Upper secondary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,32.0,Urban,Kigali city,65000.0
19,Lower secondary education,Elementary and other work,Services,Household,Oral agreement,42.0,Urban,Kigali city,20000.0
27,Primary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,60.0,Urban,Kigali city,130000.0
25,Primary education,Skilled trades and operators,Services,Private business or VUP,Oral agreement,60.0,Urban,Kigali city,100000.0
23,Primary education,Skilled trades and operators,Services,Private business or VUP,Oral agreement,12.0,Urban,Kigali city,260000.0
25,Lower secondary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,15.0,Rural,Kigali city,39000.0
18,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,30.0,Rural,Kigali city,39000.0
22,Lower secondary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,42.0,Rural,Kigali city,26000.0
24,Lower secondary education,Elementary and other work,Services,Public institution,Written contract,48.0,Rural,Kigali city,25000.0
25,Tertiary education,"Business, management and office work",Services,Private business or VUP,Written contract,45.0,Urban,Kigali city,250000.0
23,Tertiary education,"Education, health and social services",Services,Private business or VUP,Written contract,40.0,Urban,Kigali city,120000.0
27,Lower secondary education,Sales and services,Services,Private business or VUP,Oral agreement,60.0,Urban,Kigali city,40000.0
29,Tertiary education,Sales and services,Services,Private business or VUP,Oral agreement,48.0,Urban,Kigali city,70000.0
29,Upper secondary education,Sales and services,Services,Private business or VUP,Written contract,36.0,Urban,Kigali city,150000.0
28,Lower secondary education,Elementary and other work,Services,Household,Oral agreement,42.0,Urban,Kigali city,20000.0
21,Lower secondary education,Elementary and other work,Services,Household,Oral agreement,28.0,Urban,Kigali city,60000.0
29,Primary education,"Education, health and social services",Services,Household,Oral agreement,49.0,Urban,Kigali city,25000.0
18,Primary education,Sales and services,Services,Private business or VUP,Written contract,72.0,Urban,Kigali city,65000.0
29,Tertiary education,"Business, management and office work",Services,Public-private enterprise,Written contract,40.0,Urban,Kigali city,300000.0
30,Upper secondary education,Sales and services,Services,Private business or VUP,Oral agreement,72.0,Urban,Kigali city,40000.0
18,Primary education,Elementary and other work,Services,Household,Oral agreement,35.0,Urban,Kigali city,15000.0
26,Upper secondary education,Sales and services,Services,Private business or VUP,Oral agreement,35.0,Urban,Kigali city,50000.0
19,Upper secondary education,Elementary and other work,Services,Household,Oral agreement,60.0,Urban,Kigali city,20000.0
28,Upper secondary education,Elementary and other work,Services,Household,Oral agreement,60.0,Urban,Kigali city,30000.0
30,Tertiary education,"Education, health and social services",Services,Public-private enterprise,Written contract,25.0,Urban,Kigali city,266700.0
30,Lower secondary education,Skilled trades and operators,Services,Private business or VUP,Oral agreement,60.0,Urban,Kigali city,120000.0
25,Lower secondary education,Elementary and other work,Services,Private business or VUP,Oral agreement,36.0,Urban,Kigali city,40000.0
20,Lower secondary education,"Education, health and social services",Services,Household,Oral agreement,42.0,Urban,Kigali city,18000.0
25,Upper secondary education,Skilled trades and operators,Industry,Private business or VUP,Oral agreement,45.0,Urban,Kigali city,208000.0
20,Lower secondary education,Elementary and other work,Services,Household,Oral agreement,35.0,Urban,Kigali city,17000.0
20,Primary education,Elementary and other work,Services,Household,Oral agreement,40.0,Urban,Kigali city,15000.0
23,Primary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,45.0,Urban,Kigali city,78000.0
26,Primary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,45.0,Urban,Kigali city,104000.0
22,Lower secondary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,36.0,Urban,Kigali city,78000.0
24,Lower secondary education,Skilled trades and operators,Industry,Private business or VUP,Written contract,54.0,Urban,Kigali city,156000.0
21,Lower secondary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,45.0,Urban,Kigali city,78000.0
24,Lower secondary education,Elementary and other work,Services,Household,Oral agreement,70.0,Urban,Kigali city,30000.0
21,Lower secondary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,42.0,Urban,Kigali city,104000.0
25,Primary education,Elementary and other work,Services,Household,Oral agreement,40.0,Urban,Kigali city,20000.0
30,Lower secondary education,Elementary and other work,Services,Private business or VUP,Written contract,40.0,Urban,Kigali city,29000.0
22,Lower secondary education,Elementary and other work,Services,Household,Oral agreement,49.0,Urban,Kigali city,25000.0
26,Tertiary education,Skilled trades and operators,Services,Private business or VUP,Written contract,40.0,Urban,Kigali city,250000.0
21,Upper secondary education,Skilled trades and operators,Industry,Private business or VUP,Oral agreement,25.0,Urban,Kigali city,182000.0
23,Primary education,Elementary and other work,Services,Household,Oral agreement,42.0,Urban,Kigali city,10000.0
27,Upper secondary education,"Education, health and social services",Services,Private business or VUP,Written contract,50.0,Urban,Kigali city,60000.0
29,Primary education,Skilled trades and operators,Industry,Private business or VUP,Written contract,48.0,Urban,Kigali city,180000.0
30,Lower secondary education,Skilled trades and operators,Services,Private business or VUP,Oral agreement,54.0,Urban,Kigali city,70000.0
23,Lower secondary education,Agriculture,Industry,Private business or VUP,Oral agreement,35.0,Urban,Kigali city,104000.0
24,Lower secondary education,Sales and services,Services,Private business or VUP,Oral agreement,35.0,Urban,Kigali city,91000.0
27,Upper secondary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,45.0,Urban,Kigali city,52000.0
19,Lower secondary education,Elementary and other work,Services,Household,Oral agreement,70.0,Urban,Kigali city,20000.0
24,Primary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,40.0,Urban,Kigali city,78000.0
27,Tertiary education,"Business, management and office work",Services,Private business or VUP,Oral agreement,48.0,Urban,Kigali city,100000.0
27,Upper secondary education,Sales and services,Services,Private business or VUP,Oral agreement,48.0,Urban,Kigali city,50000.0
25,Upper secondary education,Sales and services,Services,Private business or VUP,Oral agreement,48.0,Urban,Kigali city,70000.0
22,Primary education,Elementary and other work,Services,Household,Oral agreement,49.0,Urban,Kigali city,20000.0
24,Tertiary education,Sales and services,Services,Private business or VUP,Oral agreement,60.0,Urban,Kigali city,100000.0
16,Primary education,Elementary and other work,Services,Household,Oral agreement,49.0,Urban,Kigali city,15000.0
25,Tertiary education,"Business, management and office work",Services,Private business or VUP,Written contract,60.0,Urban,Kigali city,200000.0
19,Primary education,Elementary and other work,Services,Household,Oral agreement,63.0,Urban,Kigali city,25000.0
19,Primary education,Elementary and other work,Services,Household,Oral agreement,70.0,Urban,Kigali city,40000.0
28,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,12.0,Rural,Southern Province,26000.0
30,Lower secondary education,Elementary and other work,Services,Private business or VUP,Written contract,40.0,Rural,Southern Province,29000.0
17,Lower secondary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,6.0,Rural,Southern Province,26000.0
17,Primary education,Elementary and other work,Services,Household,Oral agreement,40.0,Rural,Southern Province,7000.0
27,Upper secondary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,48.0,Rural,Southern Province,26000.0
24,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,18.0,Rural,Southern Province,31200.0
18,Primary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,40.0,Rural,Southern Province,52000.0
23,Primary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,40.0,Rural,Southern Province,52000.0
18,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,60.0,Rural,Southern Province,7000.0
21,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,20.0,Rural,Southern Province,26000.0
30,No formal education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,35.0,Rural,Southern Province,26000.0
25,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,15.0,Rural,Southern Province,26000.0
22,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,12.0,Rural,Southern Province,26000.0
29,Primary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,40.0,Rural,Southern Province,39000.0
28,No formal education,Agriculture,Industry,Private business or VUP,Oral agreement,40.0,Rural,Southern Province,39000.0
22,Lower secondary education,Agriculture,Industry,Private business or VUP,Oral agreement,42.0,Rural,Southern Province,35000.0
24,Primary education,Agriculture,Industry,Private business or VUP,Oral agreement,42.0,Rural,Southern Province,39000.0
18,Primary education,Agriculture,Industry,Private business or VUP,Oral agreement,35.0,Rural,Southern Province,39000.0
23,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,18.0,Rural,Southern Province,26000.0
23,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,10.0,Rural,Southern Province,31200.0
17,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,10.0,Rural,Southern Province,31200.0
20,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,30.0,Rural,Southern Province,26000.0
26,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,35.0,Rural,Southern Province,31200.0
27,Primary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,40.0,Rural,Southern Province,52000.0
21,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,30.0,Rural,Southern Province,20800.0
21,Primary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,36.0,Rural,Southern Province,52000.0
16,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,25.0,Rural,Southern Province,10400.0
27,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,35.0,Rural,Southern Province,20800.0
18,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,35.0,Rural,Southern Province,20800.0
28,Upper secondary education,"Education, health and social services",Services,Public institution,Written contract,40.0,Rural,Southern Province,115000.0
29,Upper secondary education,"Education, health and social services",Services,Public institution,Written contract,40.0,Rural,Southern Province,115000.0
24,Upper secondary education,"Education, health and social services",Services,Public institution,Written contract,40.0,Rural,Southern Province,50000.0
16,Primary education,Elementary and other work,Services,Household,Oral agreement,70.0,Rural,Southern Province,9000.0
24,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,40.0,Rural,Southern Province,36400.0
30,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,36.0,Rural,Southern Province,26000.0
29,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,36.0,Rural,Southern Province,26000.0
22,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,36.0,Rural,Southern Province,26000.0
24,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,33.0,Rural,Southern Province,26000.0
26,Primary education,Sales and services,Services,Private business or VUP,Oral agreement,84.0,Rural,Southern Province,15000.0
27,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,36.0,Rural,Southern Province,26000.0
24,Primary education,Elementary and other work,Services,Private business or VUP,Oral agreement,20.0,Rural,Southern Province,13000.0
28,Primary education,"Education, health and social services",Services,Private business or VUP,Oral agreement,70.0,Rural,Southern Province,18000.0
18,Primary education,Elementary and other work,Services,Household,Oral agreement,43.0,Urban,Southern Province,20000.0
24,Primary education,Elementary and other work,Services,Household,Oral agreement,35.0,Urban,Southern Province,20000.0
30,Tertiary education,"Business, management and office work",Services,Private business or VUP,Written contract,40.0,Urban,Southern Province,200000.0
28,Tertiary education,"Education, health and social services",Services,Private business or VUP,Written contract,40.0,Urban,Southern Province,80000.0
21,Tertiary education,"Education, health and social services",Services,Private business or VUP,Written contract,40.0,Urban,Southern Province,150000.0
23,Primary education,Elementary and other work,Services,Private business or VUP,Oral agreement,6.0,Urban,Southern Province,39000.0
22,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,36.0,Urban,Southern Province,31200.0
28,Upper secondary education,"Education, health and social services",Services,Public institution,Written contract,40.0,Rural,Southern Province,108000.0
27,Upper secondary education,"Education, health and social services",Services,Public institution,Written contract,40.0,Rural,Southern Province,110000.0
16,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,13.0,Rural,Southern Province,18200.0
26,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,42.0,Rural,Southern Province,26000.0
21,Lower secondary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,36.0,Rural,Southern Province,26000.0
30,No formal education,Agriculture,Agriculture,Private business or VUP,Oral agreement,56.0,Rural,Southern Province,15000.0
27,Primary education,Elementary and other work,Services,Household,Oral agreement,30.0,Urban,Southern Province,20000.0
28,Tertiary education,"Education, health and social services",Services,Public institution,Written contract,51.0,Urban,Southern Province,170000.0
23,Lower secondary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,36.0,Urban,Southern Province,26000.0
29,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,36.0,Rural,Southern Province,39000.0
20,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,36.0,Rural,Southern Province,39000.0
17,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,36.0,Rural,Southern Province,39000.0
30,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,36.0,Rural,Southern Province,31200.0
27,Upper secondary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,24.0,Rural,Southern Province,39000.0
17,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,28.0,Rural,Southern Province,18200.0
27,Primary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,35.0,Rural,Southern Province,26000.0
19,Primary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,36.0,Rural,Southern Province,39000.0
17,Primary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,36.0,Rural,Southern Province,39000.0
21,Primary education,"Education, health and social services",Services,Private business or VUP,Oral agreement,28.0,Rural,Southern Province,15000.0
22,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,12.0,Rural,Southern Province,52000.0
30,Primary education,Elementary and other work,Services,Private business or VUP,Oral agreement,12.0,Rural,Southern Province,52000.0
18,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,36.0,Rural,Southern Province,26000.0
20,Lower secondary education,Elementary and other work,Services,Private business or VUP,Oral agreement,56.0,Rural,Southern Province,10000.0
24,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,12.0,Rural,Southern Province,20800.0
23,Tertiary education,"Education, health and social services",Services,Public institution,Written contract,40.0,Rural,Southern Province,100000.0
27,Primary education,Elementary and other work,Industry,Other,Oral agreement,25.0,Rural,Southern Province,32500.0
22,Primary education,Elementary and other work,Services,Private business or VUP,Oral agreement,49.0,Rural,Southern Province,19500.0
23,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,36.0,Rural,Southern Province,26000.0
19,Primary education,Elementary and other work,Services,Private business or VUP,Oral agreement,63.0,Rural,Southern Province,15000.0
19,Primary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,54.0,Rural,Southern Province,26000.0
21,Primary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,54.0,Rural,Southern Province,78000.0
24,Lower secondary education,Sales and services,Services,Public institution,Written contract,40.0,Rural,Southern Province,30000.0
23,Primary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,40.0,Rural,Southern Province,43333.332
24,Lower secondary education,Sales and services,Services,Public institution,Written contract,50.0,Rural,Southern Province,30000.0
27,Lower secondary education,Skilled trades and operators,Services,Private business or VUP,Written contract,72.0,Urban,Southern Province,150000.0
28,Tertiary education,"Education, health and social services",Services,Private business or VUP,Oral agreement,35.0,Urban,Southern Province,300000.0
23,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,36.0,Urban,Southern Province,26000.0
26,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,36.0,Urban,Southern Province,20800.0
29,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,24.0,Urban,Southern Province,39000.0
20,Primary education,Elementary and other work,Services,Household,Oral agreement,21.0,Urban,Southern Province,10000.0
25,Upper secondary education,"Education, health and social services",Services,Public institution,Written contract,40.0,Urban,Southern Province,105000.0
19,Lower secondary education,Elementary and other work,Services,Household,Oral agreement,21.0,Urban,Southern Province,10000.0
20,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,45.0,Urban,Southern Province,13000.0
29,Tertiary education,"Business, management and office work",Services,Public institution,Written contract,72.0,Urban,Southern Province,160000.0
25,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,30.0,Rural,Western Province,31200.0
21,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,15.0,Rural,Western Province,31200.0
30,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,24.0,Rural,Western Province,26000.0
21,Primary education,Elementary and other work,Services,Household,Oral agreement,28.0,Rural,Western Province,10000.0
29,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,6.0,Rural,Western Province,31200.0
19,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,35.0,Rural,Western Province,24000.0
23,Lower secondary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,36.0,Rural,Western Province,26000.0
20,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,36.0,Rural,Western Province,20800.0
24,Lower secondary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,45.0,Rural,Western Province,130000.0
21,Primary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,45.0,Rural,Western Province,130000.0
21,Primary education,Elementary and other work,Services,Private business or VUP,Oral agreement,12.0,Rural,Western Province,52000.0
27,Primary education,Elementary and other work,Services,Private business or VUP,Oral agreement,6.0,Rural,Western Province,39000.0
24,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,20.0,Rural,Western Province,26000.0
27,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,36.0,Rural,Western Province,15600.0
22,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,24.0,Rural,Western Province,20800.0
29,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,5.0,Rural,Western Province,26000.0
27,Upper secondary education,Skilled trades and operators,Industry,Private business or VUP,Oral agreement,30.0,Rural,Western Province,78000.0
25,Primary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,48.0,Rural,Western Province,52000.0
24,Lower secondary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,18.0,Rural,Western Province,26000.0
25,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,18.0,Rural,Western Province,26000.0
24,Primary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,60.0,Rural,Western Province,26000.0
28,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,30.0,Rural,Western Province,26000.0
27,Primary education,Elementary and other work,Services,Private business or VUP,Oral agreement,72.0,Rural,Western Province,36400.0
23,Primary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,84.0,Rural,Western Province,21666.666
26,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,42.0,Rural,Western Province,20800.0
23,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,42.0,Rural,Western Province,15600.0
17,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,30.0,Rural,Western Province,20800.0
18,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,36.0,Rural,Western Province,20800.0
20,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,24.0,Rural,Western Province,20800.0
20,Lower secondary education,Sales and services,Services,Private business or VUP,Oral agreement,25.0,Rural,Western Province,25000.0
20,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,20.0,Rural,Western Province,26000.0
28,No formal education,Elementary and other work,Services,Private business or VUP,Oral agreement,36.0,Rural,Western Province,52000.0
22,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,48.0,Rural,Western Province,39000.0
19,Primary education,Elementary and other work,Services,Private business or VUP,Oral agreement,40.0,Rural,Western Province,20800.0
24,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,36.0,Rural,Western Province,52000.0
16,Primary education,Elementary and other work,Services,Household,Oral agreement,60.0,Urban,Western Province,15000.0
16,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,18.0,Rural,Western Province,26000.0
21,Lower secondary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,48.0,Rural,Western Province,30333.334
20,Upper secondary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,48.0,Rural,Western Province,52000.0
23,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,36.0,Rural,Western Province,39000.0
28,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,60.0,Rural,Western Province,31200.0
24,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,48.0,Rural,Western Province,31200.0
21,Primary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,40.0,Rural,Western Province,65000.0
17,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,24.0,Rural,Western Province,39000.0
24,Lower secondary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,40.0,Rural,Western Province,39000.0
22,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,21.0,Rural,Western Province,39000.0
17,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,21.0,Rural,Western Province,39000.0
20,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,28.0,Urban,Western Province,39000.0
28,Lower secondary education,Skilled trades and operators,Industry,Private business or VUP,Oral agreement,40.0,Urban,Western Province,130000.0
16,Primary education,Elementary and other work,Services,Household,Oral agreement,77.0,Urban,Western Province,10000.0
25,Primary education,Skilled trades and operators,Industry,Private business or VUP,Oral agreement,24.0,Urban,Western Province,130000.0
22,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,15.0,Urban,Western Province,52000.0
17,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,30.0,Urban,Western Province,39000.0
22,Lower secondary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,27.0,Urban,Western Province,39000.0
18,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,40.0,Urban,Western Province,52000.0
19,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,27.0,Urban,Western Province,26000.0
16,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,18.0,Urban,Western Province,26000.0
29,Lower secondary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,12.0,Urban,Western Province,26000.0
24,Lower secondary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,16.0,Urban,Western Province,18200.0
26,Primary education,Elementary and other work,Services,Private business or VUP,Oral agreement,7.0,Urban,Western Province,52000.0
27,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,21.0,Urban,Western Province,26000.0
24,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,12.0,Urban,Western Province,52000.0
24,Lower secondary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,36.0,Urban,Western Province,26000.0
22,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,38.0,Rural,Western Province,26000.0
22,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,30.0,Rural,Western Province,26000.0
20,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,20.0,Rural,Western Province,26000.0
19,Lower secondary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,25.0,Rural,Western Province,26000.0
